,Date,Open,High,Low,Close,Adj.Close,Volume,Rate,Variance
1,11/12/2019,8759.751953,8853.768555,8685.427734,8815.662109,8815.662109,20309769107,-0.638261863,0.019217533
2,11/13/2019,8812.033203,8836.841797,8761.651367,8808.262695,8808.262695,17545755404,0.042788173,0.008532699
3,11/14/2019,8811.936523,8826.943359,8692.551758,8708.094727,8708.094727,19084739974,1.17842197,0.015251086
4,11/15/2019,8705.708008,8730.873047,8484.84375,8491.992188,8491.992188,21796856471,2.45489304,0.028260688
5,11/16/2019,8491.166016,8591.99707,8473.973633,8550.760742,8550.760742,16495389808,-0.701843844,0.013899556
6,11/17/2019,8549.470703,8727.789063,8500.967773,8577.975586,8577.975586,18668638896,-0.333411085,0.026530448
7,11/18/2019,8573.980469,8653.280273,8273.573242,8309.286133,8309.286133,21579470673,3.087181467,0.044285969
8,11/19/2019,8305.134766,8408.516602,8099.963379,8206.145508,8206.145508,21083613815,1.191904295,0.037152103
9,11/20/2019,8203.613281,8237.240234,8010.511719,8027.268066,8027.268066,20764300436,2.149604192,0.027637641
10,11/21/2019,8023.644531,8110.098145,7597.381836,7642.75,7642.75,22514243371,4.747151117,0.063900676
11,11/22/2019,7643.569336,7697.382813,6936.706543,7296.577637,7296.577637,34242315784,4.539655281,0.099518463
12,11/23/2019,7296.164551,7442.258789,7151.417969,7397.796875,7397.796875,21008924417,-1.392955481,0.039862152
13,11/24/2019,7398.633789,7408.577148,7029.289063,7047.916992,7047.916992,30433517289,4.740291343,0.051264611
14,11/25/2019,7039.977051,7319.856934,6617.166992,7146.133789,7146.133789,42685231261,-1.507913126,0.099814238
15,11/26/2019,7145.15918,7320.230469,7098.572266,7218.371094,7218.371094,21129505542,-1.024636571,0.03102215
16,11/27/2019,7220.880859,7619.693359,6974.174316,7531.663574,7531.663574,23991412764,-4.303944644,0.089396163
17,11/28/2019,7536.820313,7730.072754,7454.121582,7463.105957,7463.105957,19050116751,0.978056434,0.036613739
18,11/29/2019,7466.727051,7781.179688,7460.756348,7761.243652,7761.243652,19709695455,-3.944386864,0.042913493
19,11/30/2019,7764.057129,7836.102051,7515.849609,7569.629883,7569.629883,17158194786,2.504196489,0.041248079
20,12/1/2019,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,1.945736906,0.037016458
21,12/2/2019,7424.036133,7474.818848,7233.399414,7321.988281,7321.988281,17082040705,1.374560282,0.032518623
22,12/3/2019,7323.975586,7418.858887,7229.356934,7320.145508,7320.145508,14797485769,0.052295068,0.025874192
23,12/4/2019,7320.125,7539.784668,7170.922852,7252.034668,7252.034668,21664240918,0.930179908,0.050390098
24,12/5/2019,7253.241699,7743.431641,7232.676758,7448.307617,7448.307617,18816085231,-2.689361889,0.070417464
25,12/6/2019,7450.561523,7546.996582,7392.175293,7546.996582,7546.996582,18104466306,-1.294332765,0.020779815
26,12/7/2019,7547.265625,7589.95166,7525.711426,7556.237793,7556.237793,15453520564,-0.118879717,0.008511723
27,12/8/2019,7551.338867,7634.606445,7476.091309,7564.345215,7564.345215,15409908086,-0.172238966,0.02099166
28,12/9/2019,7561.79541,7618.091797,7365.985352,7400.899414,7400.899414,17872021272,2.1277486,0.033339496
